,Technology,O2_substitution,Ratio_NG
4,9,21,91
6,5,41,76
13,7,56,91
17,7,45,93
23,5,12,77
25,7,38,89
26,2,26,80
29,5,32,79
32,4,20,79
33,7,20,96
43,2,52,75
44,6,22,99
45,9,30,93
46,4,31,75
47,5,23,78
49,2,24,79
53,7,35,95
57,2,19,77
66,2,44,76
67,2,24,78
70,9,43,95
75,7,43,94
76,7,8,90
82,7,45,92
84,9,37,92
85,9,22,90
86,4,23,78
87,7,26,97
88,4,13,77
90,9,59,96
91,1,58,75
93,1,59,76
98,9,1,94
101,1,55,76
102,1,55,75
106,9,58,97
121,1,60,77
126,1,60,76
142,1,59,75
151,1,60,75
185,1,60,78
196,1,59,77
200,7,42,88
204,4,46,76
206,1,58,76
222,5,30,75
